"Label (Grouping)","Berkeley city, California!!Estimate","Berkeley city, California!!Margin of Error","Berkeley city, California!!Percent","Berkeley city, California!!Percent Margin of Error","Philadelphia city, Pennsylvania!!Estimate","Philadelphia city, Pennsylvania!!Margin of Error","Philadelphia city, Pennsylvania!!Percent","Philadelphia city, Pennsylvania!!Percent Margin of Error"
"        $1,000 or more","4,812","±393","66.2%","±4.7","16,945","±1,261","11.8%","±0.9"
"        Median (dollars)","1,225","±79","(X)","(X)","554","±8","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","13,478","±754","13,478","(X)","205,952","±3,562","205,952","(X)"
"        Less than 20.0 percent","5,346","±503","39.7%","±2.8","97,794","±2,616","47.5%","±1.1"
"        20.0 to 24.9 percent","2,089","±367","15.5%","±2.5","26,121","±1,737","12.7%","±0.8"
"        25.0 to 29.9 percent","1,232","±202","9.1%","±1.5","17,071","±1,389","8.3%","±0.6"
"        30.0 to 34.9 percent","843","±176","6.3%","±1.4","13,187","±1,112","6.4%","±0.5"
"        35.0 percent or more","3,968","±465","29.4%","±2.9","51,779","±2,035","25.1%","±0.9"
"        Not computed","82","±74","(X)","(X)","2,118","±567","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","7,146","±548","7,146","(X)","140,108","±3,463","140,108","(X)"
"        Less than 10.0 percent","3,041","±394","42.6%","±4.3","55,232","±2,326","39.4%","±1.3"
"        10.0 to 14.9 percent","1,563","±294","21.9%","±3.6","24,380","±1,678","17.4%","±1.0"
"        15.0 to 19.9 percent","678","±165","9.5%","±2.4","14,976","±1,352","10.7%","±0.9"
"        20.0 to 24.9 percent","373","±95","5.2%","±1.4","10,595","±944","7.6%","±0.7"
"        25.0 to 29.9 percent","235","±78","3.3%","±1.1","7,301","±827","5.2%","±0.6"
"        30.0 to 34.9 percent","160","±85","2.2%","±1.2","4,977","±740","3.6%","±0.5"
"        35.0 percent or more","1,096","±267","15.3%","±3.3","22,647","±1,527","16.2%","±1.1"
"        Not computed","123","±77","(X)","(X)","3,727","±643","(X)","(X)"
"GROSS RENT","","","","","","","",""
"    Occupied units paying rent","25,691","±994","25,691","(X)","315,745","±4,360","315,745","(X)"
"        Less than $500","728","±128","2.8%","±0.5","25,093","±1,630","7.9%","±0.5"
"        $500 to $999","1,831","±330","7.1%","±1.2","48,954","±2,637","15.5%","±0.8"
"        $1,000 to $1,499","3,499","±346","13.6%","±1.3","105,450","±3,689","33.4%","±1.0"
"        $1,500 to $1,999","5,473","±685","21.3%","±2.4","81,244","±3,011","25.7%","±0.9"
"        $2,000 to $2,499","4,959","±471","19.3%","±1.8","32,005","±1,568","10.1%","±0.5"
"        $2,500 to $2,999","3,586","±571","14.0%","±2.2","11,968","±1,026","3.8%","±0.3"
"        $3,000 or more","5,615","±488","21.9%","±1.8","11,031","±959","3.5%","±0.3"
"        Median (dollars)","2,133","±65","(X)","(X)","1,397","±14","(X)","(X)"
"        No rent paid","615","±160","(X)","(X)","11,778","±1,292","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","24,729","±983","24,729","(X)","305,242","±4,354","305,242","(X)"
"        Less than 15.0 percent","3,028","±381","12.2%","±1.5","37,712","±2,397","12.4%","±0.8"
"        15.0 to 19.9 percent","2,796","±432","11.3%","±1.7","37,782","±2,291","12.4%","±0.7"
"        20.0 to 24.9 percent","2,826","±406","11.4%","±1.5","37,892","±2,015","12.4%","±0.7"
"        25.0 to 29.9 percent","2,314","±440","9.4%","±1.7","32,314","±1,905","10.6%","±0.6"
"        30.0 to 34.9 percent","1,759","±335","7.1%","±1.3","25,077","±1,832","8.2%","±0.6"
"        35.0 percent or more","12,006","±799","48.6%","±2.8","134,465","±3,895","44.1%","±1.1"
"        Not computed","1,577","±288","(X)","(X)","22,281","±1,775","(X)","(X)"
